Seite/Komponente,Bildtyp,Seiten-URL (DE),Seiten-URL (EN),Aktueller DE Alt-Text,Aktueller EN Alt-Text,Status,Vorschlag DE (SEO-optimiert),Vorschlag EN (SEO-optimiert),Priorität,Code-Komponente,Dictionary-Pfad,Anmerkungen
Homepage - Stage,Hero-Bild,https://biszet.de/de,https://biszet.de/en,Background,Background,❌ Kritisch,biszet b7 Luxus-Kosmetikkühlschrank aus Edelstahl in modernem Badezimmer,biszet b7 luxury cosmetics refrigerator in stainless steel in modern bathroom,Hoch,src/components/Stage.tsx (Zeile 30),Neu: home.modules.stage.imageAlt,Aktuell hardcoded - muss aus Dictionary kommen
Homepage - Stage Mobile,Hero-Bild (mobil),https://biszet.de/de,https://biszet.de/en,Background,Background,❌ Kritisch,biszet b7 Kosmetikkühlschrank Nahaufnahme,biszet b7 cosmetics refrigerator close-up,Hoch,src/components/Stage.tsx (Zeile 39),Neu: home.modules.stage.imageAltMobile,Separate Mobile-Version des Alt-Texts
Homepage - Carousel: Wallpaper,Press Logo,https://biszet.de/de,https://biszet.de/en,Wallpaper Logo,Wallpaper Logo,⚠️ Generic,Wallpaper Magazine Logo - biszet Presse,Wallpaper Magazine Logo - biszet press coverage,Mittel,src/components/Carousel.tsx,home.modules.carousel.items[0][0].imageAlt,Kontext hinzufügen
Homepage - Carousel: AD,Press Logo,https://biszet.de/de,https://biszet.de/en,AD Logo,AD Logo,⚠️ Generic,Architectural Digest Logo - biszet Feature,Architectural Digest Logo - biszet feature,Mittel,src/components/Carousel.tsx,home.modules.carousel.items[0][1].imageAlt,Kontext hinzufügen
Homepage - Carousel: Vogue,Press Logo,https://biszet.de/de,https://biszet.de/en,Vogue Logo,Vogue Logo,⚠️ Generic,Vogue Logo - biszet Beauty-Kühlschrank Artikel,Vogue Logo - biszet beauty refrigerator article,Mittel,src/components/Carousel.tsx,home.modules.carousel.items[0][2].imageAlt,Kontext hinzufügen
Homepage - Carousel: House and Garden,Press Logo,https://biszet.de/de,https://biszet.de/en,House and Garden,House and Garden,⚠️ Generic,House and Garden Logo - biszet Badezimmer-Design,House and Garden Logo - biszet bathroom design,Mittel,src/components/Carousel.tsx,home.modules.carousel.items[1][0].imageAlt,Konsistenz mit anderen Logos
Homepage - Carousel: BILD,Press Logo,https://biszet.de/de,https://biszet.de/en,BILD,BILD,⚠️ Generic,BILD Zeitung Logo - biszet Innovation,BILD newspaper Logo - biszet innovation,Mittel,src/components/Carousel.tsx,home.modules.carousel.items[1][1].imageAlt,Kontext hinzufügen
Homepage - Carousel: Elle Decoration,Press Logo,https://biszet.de/de,https://biszet.de/en,Elle Decoration,Elle Decoration,⚠️ Generic,Elle Decoration Logo - biszet Badmöbel Feature,Elle Decoration Logo - biszet bathroom furniture feature,Mittel,src/components/Carousel.tsx,home.modules.carousel.items[1][2].imageAlt,Kontext hinzufügen
Homepage - Carousel: Myself,Press Logo,https://biszet.de/de,https://biszet.de/en,Myself,Myself,⚠️ Generic,Myself Magazin Logo - biszet Beauty-Kühlschrank Test,Myself Magazine Logo - biszet beauty refrigerator review,Mittel,src/components/Carousel.tsx,home.modules.carousel.items[2][0].imageAlt,Kontext hinzufügen
Homepage - Carousel: Elle Italia,Press Logo,https://biszet.de/de,https://biszet.de/en,Elle,Elle,⚠️ Generic,Elle Italia Logo - biszet Badezimmer-Innovation,Elle Italia Logo - biszet bathroom innovation,Mittel,src/components/Carousel.tsx,home.modules.carousel.items[2][1].imageAlt,Kontext hinzufügen
